Net_YY,Customer,Solid,Stript,Check,1W_Match,2W_Match,LS,Plan_Cut_Qty,Repeat_x,Repeat_y,Avgÿ_Neck_Size,Double_Cuff,Marker_width,Dress,Sport
1.504842281,CT,0,0,1,0,1,1,258,0.100000001,0.100000001,32.2,0,59.6,1.000,0.000
1.639365037,CT,0,1,0,0,1,1,42,0,0.800000012,32.0,0,59.3,1.000,0.000
1.606472174,CT,1,0,0,1,0,1,60,0,0,32.1,0,61.0,1.000,0.000
1.576333364,CT,0,1,0,0,1,1,54,0,0.125,32.4,0,61.0,1.000,0.000
1.576333364,CT,0,1,0,0,1,1,36,0,0.125,32.4,0,61.0,1.000,0.000
1.596399943,CT,1,0,0,0,1,1,150,0,0,32.0,0,59.3,1.000,0.000
1.53643163,CT,1,0,0,0,1,1,156,0,0,32.2,0,61.0,1.000,0.000
1.489629587,CT,0,1,0,0,1,1,60,0,0.125,32.3,0,61.0,1.000,0.000
1.489629587,CT,0,1,0,0,1,1,120,0,0.125,32.3,0,61.0,1.000,0.000
1.496500015,CT,1,0,0,0,1,1,30,0,0,31.6,0,60.3,1.000,0.000
1.56916666,CT,1,0,0,0,1,1,42,0,0,32.4,0,60.0,1.000,0.000
1.549475988,CT,1,0,0,0,1,1,198,0,0,32.3,0,60.7,1.000,0.000
1.549475988,CT,1,0,0,0,1,1,66,0,0,32.3,0,60.7,1.000,0.000
1.546510379,CT,1,0,0,0,1,1,96,0,0,32.3,0,60.0,1.000,0.000
1.440085411,CT,1,0,0,0,1,1,156,0,0,32.3,0,60.3,1.000,0.000
1.446364721,CT,1,0,0,0,1,1,138,0,0,32.3,0,61.0,1.000,0.000
1.438631852,CT,1,0,0,0,1,1,893,0,0,31.9,0,60.4,1.000,0.000
1.438631852,CT,1,0,0,0,1,1,288,0,0,31.9,0,60.4,1.000,0.000
1.466703574,CT,1,0,0,0,1,1,294,0,0,32.2,0,60.0,1.000,0.000
1.50595967,CT,0,0,1,0,1,1,36,0.100000001,0.100000001,32.0,0,59.5,1.000,0.000
1.50595967,CT,0,0,1,0,1,1,30,0.100000001,0.100000001,32.0,0,59.5,1.000,0.000
1.686083317,CT,0,0,1,0,1,1,60,2.306999922,1.906000018,32.2,0,60.3,1.000,0.000
1.607474804,CT,0,1,0,0,1,1,66,0,0.280000001,32.2,0,60.8,1.000,0.000
1.52124993,CT,0,1,0,0,1,1,24,0,0.125,32.8,0,61.0,1.000,0.000
1.541582108,CT,0,1,0,0,1,1,138,0,0.280000001,32.2,0,60.8,1.000,0.000
1.56060187,CT,1,0,0,0,1,1,72,0,0,32.3,0,60.0,1.000,0.000
1.529128075,CT,1,0,0,0,1,1,78,0,0,32.3,0,60.0,1.000,0.000
1.529128075,CT,1,0,0,0,1,1,30,0,0,32.3,0,60.0,1.000,0.000
1.605000019,CT,1,0,0,1,0,1,6,0,0,32.0,0,61.0,1.000,0.000
1.534722169,CT,1,0,0,0,1,1,72,0,0,32.3,0,60.5,1.000,0.000
1.534722169,CT,1,0,0,0,1,1,192,0,0,32.3,0,60.5,1.000,0.000
1.76297617,CT,0,0,1,1,0,1,42,2.306999922,1.906000018,32.7,0,60.3,1.000,0.000
1.518388748,CT,1,0,0,1,0,1,1063,0,0,32.2,0,57.5,1.000,0.000
1.528487047,CT,1,0,0,0,1,1,918,0,0,32.2,0,57.2,1.000,0.000
1.502427419,CT,0,0,1,0,1,1,624,0.166700006,0.159999996,32.2,0,62.0,1.000,0.000
1.405085246,CT,0,0,1,0,1,1,596,0.166700006,0.159999996,31.9,0,62.0,1.000,0.000
1.739614964,ART,0,0,1,1,0,1,4432,0.333000004,0.3125,33.3,0,61.3,1.000,0.000
1.815250397,ART,0,0,1,1,0,1,3366,1.187000036,1.450000048,33.7,0,61.1,1.000,0.000
1.695947965,ART,0,0,1,1,0,1,206,0.330000013,0.312000006,33.0,0,62.0,1.000,0.000
1.731516997,ART,0,0,1,1,0,1,154,1.187000036,1.144999981,32.9,0,61.8,1.000,0.000
1.624592145,ART,1,0,0,0,1,1,1538,0,0,32.9,0,60.5,1.000,0.000
1.612108707,ART,0,0,1,0,1,1,1361,0.333000004,0.3125,32.8,0,62.0,1.000,0.000
1.658194383,PF,0,1,0,0,1,1,8,0,0.125,35.0,0,61.5,1.000,0.000
1.473931948,BB,0,1,0,0,1,1,1596,0,0.125,32.3,0,61.4,1.000,0.000
1.45978117,BB,1,0,0,0,1,1,2217,0,0,32.3,0,60.6,1.000,0.000
1.460443338,BB,1,0,0,0,1,1,2266,0,0,32.3,0,60.4,1.000,0.000
1.651666641,PF,1,0,0,0,1,1,2,0,0,34.0,0,60.8,1.000,0.000
1.568424066,PF,1,0,0,0,1,1,4,0,0,33.5,0,61.1,1.000,0.000
1.568424066,PF,1,0,0,0,1,1,48,0,0,33.5,0,61.1,1.000,0.000
1.616846879,PF,1,0,0,0,1,1,10,0,0,34.5,0,61.3,1.000,0.000
1.616846879,PF,1,0,0,0,1,1,27,0,0,34.5,0,61.3,1.000,0.000
1.572850068,PF,1,0,0,0,1,1,100,0,0,34.0,1,61.1,1.000,0.000
1.572850068,PF,1,0,0,0,1,1,6,0,0,34.0,1,61.1,1.000,0.000
1.572850068,PF,1,0,0,0,1,1,44,0,0,34.0,1,61.1,1.000,0.000
1.612500032,PF,1,0,0,0,1,1,2,0,0,33.0,1,60.8,1.000,0.000
